,city,hotel_name,people_number,days_number,price,staff,amenities,cleanliness,comfort,value_for_money,location,free_wifi,average_opinion
1599,Gdańsk,Forrest Apartments & Hostel,2,2,511.0,8.8,9.1,9.4,9.2,9.1,9.8,8.8,9.0
1600,Gdańsk,"Radisson Hotel & Suites, Gdansk, Wyspa Spichrzów",2,2,751.0,8.8,8.6,9.0,9.0,8.2,9.7,8.8,8.5
1601,Gdańsk,Zefiro Ogrody,2,2,458.0,8.9,8.4,9.0,8.6,8.6,9.4,8.6,8.5
1602,Gdańsk,Villa Anna,2,2,625.0,9.4,8.8,9.4,9.1,8.7,8.7,8.9,8.9
1603,Gdańsk,Dom w sercu Gdańska,2,2,2145.0,9.5,8.6,9.5,9.1,9.1,8.6,,9.2
1604,Gdańsk,Apartamenty MICHEL Gdańsk Centrum BOUTIQUE HOTEL,2,2,703.0,9.7,9.4,9.7,9.7,9.4,9.9,9.5,9.4
1605,Gdańsk,Old Town by Welcome Apartment,2,2,853.0,9.1,9.0,9.2,9.1,8.8,9.7,8.9,9.0
1606,Gdańsk,Mieszkania I studio I pokoje z łazienkami,2,2,191.0,7.7,7.2,7.4,7.3,7.6,7.5,7.1,7.0
1607,Gdańsk,Zefiro Stajenna,2,2,415.0,8.9,8.6,9.1,8.8,8.8,9.3,9.0,8.7
1608,Gdańsk,City Center - Długa Grobla by Apartmore,2,2,711.0,9.1,8.9,9.1,9.0,8.7,9.3,6.9,9.0
1609,Gdańsk,Bon Voyage Apartments,2,2,240.0,9.1,8.5,8.9,8.4,8.6,8.8,9.1,8.4
1610,Gdańsk,Old Town - River Point by Welcome Apartment,2,2,1151.0,9.4,9.2,9.1,9.2,8.7,9.7,9.1,9.0
1611,Gdańsk,Flatbook - City Center Apartments Chlebova with Gym,2,7,1180.0,8.5,8.9,9.2,9.3,8.8,9.1,9.5,9.0
1612,Gdańsk,Perfect Apartment Oldtown Gdansk,2,7,9789.0,9.2,8.7,8.7,8.9,8.9,9.4,10.0,10.0
1613,Gdańsk,Nova Motlava Old Town Apartment,2,7,2359.0,9.9,9.5,9.7,9.5,9.4,9.7,10.0,8.9
1614,Gdańsk,Ośrodek Wczasowy Bursztyn,2,7,2433.0,8.6,7.6,7.7,7.6,7.5,9.3,,9.4
